latent_topic_0,latent_topic_1,latent_topic_2,latent_topic_3,latent_topic_4,latent_topic_5,latent_topic_6,latent_topic_7,latent_topic_8
0.0,0.259,0.0,0.0,0.112,0.0,0.0,0.0,0.086
0.0,0.0,0.307,0.0,0.224,0.01,0.231,0.238,0.0
0.466,0.29,0.0,0.0,0.0,0.0,0.007,0.069,0.002
0.293,0.0,0.185,0.0,0.012,0.0,0.076,0.009,0.539
0.0,0.0,0.293,0.0,0.002,0.0,0.0,0.0,0.0
0.0,0.286,0.0,0.0,0.0,0.023,0.0,0.0,0.0
0.005,0.275,0.019,0.0,0.0,0.0,0.397,0.0,0.0
0.336,0.007,0.268,0.0,0.307,0.0,0.069,0.0,0.029
0.202,0.01,0.286,0.004,0.3,0.0,0.151,0.034,0.056
0.129,0.0,0.251,0.0,0.198,0.647,0.0,0.22,0.0
0.339,0.01,0.345,0.0,0.171,0.573,0.0,0.0,0.0
0.012,0.046,0.293,0.0,0.0,0.0,0.054,0.0,0.0
0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.239
0.0,0.284,0.0,0.0,0.0,0.02,0.0,0.0,0.0
0.0,0.3,0.054,0.0,0.0,0.391,0.028,0.248,0.0
0.0,0.272,0.0,0.0,0.116,0.0,0.007,0.0,0.084
0.255,0.007,0.295,0.0,0.226,0.0,0.075,0.032,0.512
0.067,0.035,0.353,0.0,0.0,0.0,0.024,0.21,0.132
0.0,0.256,0.0,0.0,0.116,0.0,0.126,0.0,0.08
0.445,0.014,0.0,0.096,0.207,0.0,0.0,0.239,0.551
0.0,0.248,0.0,0.0,0.133,0.003,0.193,0.0,0.064
0.02,0.295,0.027,0.0,0.11,0.598,0.116,0.0,0.066
0.0,0.247,0.0,0.0,0.0,0.541,0.0,0.0,0.153
0.325,0.0,0.17,0.008,0.15,0.615,0.122,0.018,0.131
0.0,0.254,0.0,0.292,0.0,0.0,0.0,0.0,0.0
0.0,0.295,0.0,0.0,0.004,0.019,0.0,0.044,0.0
0.447,0.016,0.233,0.104,0.0,0.0,0.0,0.331,0.0
0.022,0.318,0.034,0.0,0.0,0.0,0.08,0.0,0.001
0.177,0.022,0.311,0.0,0.0,0.0,0.024,0.0,0.001
0.264,0.015,0.427,0.0,0.109,0.0,0.076,0.0,0.051
0.008,0.251,0.0,0.0,0.0,0.0,0.0,0.061,0.235
0.036,0.301,0.028,0.0,0.312,0.0,0.043,0.298,0.069
0.03,0.302,0.024,0.0,0.057,0.0,0.057,0.047,0.344
0.0,0.015,0.306,0.0,0.115,0.0,0.266,0.0,0.078
0.0,0.267,0.0,0.0,0.105,0.0,0.0,0.0,0.13
0.0,0.0,0.279,0.0,0.288,0.0,0.415,0.0,0.205
0.161,0.013,0.295,0.0,0.238,0.156,0.022,0.016,0.492
0.023,0.317,0.037,0.0,0.0,0.0,0.064,0.0,0.0
0.412,0.0,0.209,0.006,0.251,0.0,0.312,0.0,0.266
0.443,0.0,0.0,0.0,0.179,0.004,0.0,0.027,0.0
0.011,0.259,0.0,0.107,0.205,0.0,0.0,0.369,0.0
0.167,0.0,0.206,0.421,0.181,0.037,0.0,0.068,0.0
0.023,0.325,0.036,0.0,0.0,0.0,0.064,0.0,0.0
0.318,0.007,0.266,0.0,0.168,0.43,0.0,0.033,0.0
0.335,0.227,0.0,0.0,0.0,0.439,0.0,0.0,0.0
0.003,0.279,0.0,0.0,0.0,0.454,0.0,0.0,0.0
0.0,0.0,0.308,0.0,0.002,0.0,0.0,0.015,0.0
0.382,0.0,0.299,0.0,0.0,0.559,0.0,0.267,0.0
0.0,0.0,0.244,0.0,0.0,0.0,0.0,0.252,0.0
0.248,0.0,0.223,0.002,0.0,0.011,0.0,0.299,0.0
0.348,0.0,0.222,0.013,0.31,0.0,0.366,0.006,0.036
0.322,0.0,0.239,0.304,0.172,0.006,0.0,0.0,0.0
0.417,0.002,0.247,0.0,0.223,0.0,0.0,0.0,0.497
0.005,0.288,0.019,0.0,0.0,0.0,0.397,0.0,0.0
0.0,0.0,0.183,0.364,0.0,0.0,0.0,0.319,0.031
0.215,0.0,0.385,0.0,0.294,0.017,0.404,0.0,0.168
0.288,0.265,0.0,0.0,0.277,0.238,0.238,0.0,0.183
0.0,0.264,0.0,0.0,0.007,0.0,0.0,0.0,0.0
0.0,0.286,0.0,0.0,0.0,0.02,0.0,0.0,0.0
0.0,0.002,0.274,0.004,0.0,0.0,0.396,0.001,0.0
0.439,0.016,0.009,0.0,0.224,0.0,0.01,0.0,0.479
0.351,0.006,0.247,0.11,0.239,0.155,0.0,0.0,0.387
0.45,0.009,0.074,0.0,0.236,0.0,0.141,0.006,0.494
0.245,0.264,0.048,0.0,0.075,0.123,0.443,0.042,0.107
0.517,0.029,0.0,0.108,0.0,0.0,0.015,0.092,0.023
0.154,0.267,0.0,0.002,0.317,0.035,0.392,0.0,0.012
0.448,0.004,0.0,0.005,0.206,0.0,0.162,0.0,0.511
0.022,0.306,0.048,0.0,0.0,0.0,0.173,0.006,0.0
0.453,0.008,0.0,0.101,0.221,0.009,0.073,0.0,0.56
0.0,0.0,0.226,0.026,0.0,0.0,0.122,0.0,0.0
0.411,0.008,0.311,0.0,0.236,0.0,0.04,0.315,0.441
0.0,0.291,0.01,0.0,0.114,0.0,0.257,0.0,0.075
0.0,0.28,0.0,0.0,0.12,0.242,0.05,0.0,0.068
0.0,0.018,0.285,0.0,0.352,0.0,0.316,0.0,0.002
0.005,0.037,0.382,0.0,0.219,0.0,0.032,0.0,0.0
0.0,0.254,0.0,0.319,0.0,0.0,0.0,0.24,0.0
0.0,0.284,0.0,0.328,0.0,0.016,0.0,0.004,0.0
0.0,0.0,0.324,0.0,0.0,0.0,0.031,0.348,0.016
0.0,0.002,0.255,0.0,0.185,0.136,0.489,0.0,0.0
0.0,0.0,0.241,0.01,0.0,0.0,0.0,0.0,0.0
0.0,0.254,0.0,0.407,0.182,0.0,0.0,0.316,0.0
0.013,0.292,0.03,0.005,0.0,0.0,0.187,0.0,0.0
0.022,0.267,0.0,0.412,0.0,0.021,0.0,0.248,0.0
0.146,0.032,0.295,0.0,0.293,0.0,0.014,0.012,0.218
0.0,0.262,0.0,0.0,0.005,0.0,0.0,0.233,0.0
0.341,0.305,0.005,0.0,0.157,0.598,0.0,0.187,0.0
0.08,0.261,0.0,0.006,0.0,0.0,0.0,0.034,0.0
0.491,0.012,0.008,0.099,0.282,0.0,0.086,0.057,0.073
0.0,0.246,0.0,0.008,0.0,0.0,0.106,0.0,0.0
0.0,0.246,0.0,0.008,0.0,0.0,0.106,0.0,0.0
0.0,0.227,0.0,0.0,0.079,0.004,0.311,0.0,0.253
0.0,0.0,0.218,0.157,0.0,0.0,0.0,0.0,0.172
0.0,0.26,0.0,0.0,0.338,0.0,0.0,0.0,0.026
0.022,0.25,0.0,0.0,0.0,0.405,0.0,0.0,0.0
0.091,0.268,0.0,0.0,0.311,0.0,0.435,0.045,0.069
0.276,0.289,0.08,0.0,0.17,0.587,0.0,0.0,0.0
0.322,0.0,0.332,0.0,0.234,0.014,0.051,0.272,0.437
0.0,0.289,0.0,0.012,0.0,0.02,0.0,0.0,0.0
0.472,0.017,0.0,0.0,0.248,0.0,0.013,0.0,0.333
0.0,0.242,0.0,0.009,0.0,0.0,0.19,0.01,0.0
0.0,0.238,0.0,0.0,0.338,0.146,0.18,0.221,0.0
0.306,0.297,0.077,0.0,0.263,0.03,0.0,0.0,0.326
0.001,0.309,0.036,0.0,0.327,0.0,0.039,0.227,0.016
0.0,0.258,0.0,0.499,0.0,0.0,0.0,0.235,0.0
0.102,0.039,0.283,0.505,0.0,0.012,0.013,0.3,0.022
0.176,0.029,0.247,0.386,0.0,0.0,0.017,0.0,0.0
0.365,0.0,0.262,0.0,0.0,0.454,0.12,0.271,0.161
0.0,0.267,0.0,0.0,0.005,0.0,0.0,0.044,0.0
